ETABLISSEMENT;VILLE;UAI;COMPO;COM_CODE
ED SICMA - ( Cifre entre ENSTA Bretagne & CGG);Brest;0912318A;0290125D;29019
Telecom Bretagne Brest;Brest;0291811L;0291811L;29019
ENSTA Bretagne;Brest;0912318A;0290125D;29019
Telecom Bretagne;brest;0291811L;0291811L;29019
IAE;Brest;0290346U;0292199H;29019
Télécom Bretagne;Brest;0291811L;0291811L;29019
ENSTA Bretagne;Brest (29);0912318A;0290125D;29019
LYON 2;Bron;0691775E;0691775E;69029
Université Libre de Bruxelles;Bruxelles;ETRANGERPR;ETRANGERPR;Bruxelles
Institut Paul Lambin;Bruxelles;ETRANGERPR;ETRANGERPR;Bruxelles
ECAM Rennes;Bruz;0352337A;0352337A;35047
ECAM Rennes, Louis de Broglie;Bruz;0352337A;0352337A;35047
ECAM Rennes Louis DE BRÖGLIE;Bruz - Campus de Ker Lann;0352337A;0352337A;35047
ESTP Paris;Cachan;0942340H;0942340H;94016
IUT de Cachan;Cachan;0911101C;0940609B;94016
École Normale Supérieure de Cachan;Cachan;0940607Z;0940607Z;94016
Ecole Supérieure d'Ingénieur des Travaux de la Construction de Cachan;CACHAN;0941954N;0941954N;94016
Ecole de Management de Normandie;Caen;0760168V;0142124H;14118
IAE de CAEN BASSE NORMANDIE;CAEN;0141408E;0140107R;14118
ESITC Caen;Caen;0142182W;0142182W;14242
IAE de CAEN;CAEN;0141408E;0140107R;14118
École Nationale Supérieur d'Ingénieur de Caen (ENSICaen);Caen;0141720U;0141720U;14118
IAE de UNIVERSITE DE CAEN;CAEN;0141408E;0140107R;14118
Université Caen Cherbourg 1 ;Caen;0141408E;0141408E;14118
AFTEC Sup OUEST;Caen (14);0352719R;0142395C;14118
Université du Littoral Côte d'Opale;Calais;0595964M;0595964M;62193
Harvard University;Cambridge, Massachusetts ;ETRANGERPR;ETRANGERPR;CambridgeUS
Cambridge University;Cambridge, Royaume-Uni;ETRANGERPU;ETRANGERPU;CambridgeRU
EGSI;Campus Nation - 242 rue du Faubourg Saint-Antoine, 75012 Paris;0754724C;0754724C;75056
Université Nice - Sophia Antipolis;Cannes;0060931E;0060931E;06029
Lycée Paul Sérusier ;Carhaix;0290022S;0290022S;29024
IT Carlow;CARLOW, IRLANDE;ETRANGERPU;ETRANGERPU;Carlow
IUT de Nantes;Carquefou;0440984F;0440139M;44026
IUT de Nantes - Campus de la Fleuriaye ;Carquefou;0440984F;0440139M;44026
Université de Bretagne Sud ;Casablanca ;0561718N;0561718N;Casablanca
Université - Toulouse III Paul Sabatier antenne Castres;Castres;0311384L;0311384L;81065
Felix Eboué;CAYENNE;9730001N;9730001N;97302
Univerté de la Guyane;Cayenne;9730429D;9730429D;97302
EISTI;Cergy;0951623Y;0951623Y;95127
EISTI Cergy;Cergy;0951623Y;0951623Y;95127
Essec Business School;Cergy;0951214D;0951214D;95127
Université de Cergy-Pontoise;Cergy;0951793H;0951793H;95127
Université de Cergy;Cergy;0951793H;0951793H;95127
ENSEA;Cergy;0951376E;0951376E;95127
Ecole Nationale Supérieure de l'Electronique et de ses Applications;Cergy;0951376E;0951376E;95127
ECAM-EPMI;Cergy;0951819L;0951819L;95127
École Nationale Supérieure de l'Électronique et de ses Applications;CERGY;0951376E;0951376E;95127
IUT CERGY SAINT CHRISTOPHE;CERGY;0951793H;0951750L;95127
